name,start_read_date,end_read_date,estimated_volume,volume,grass_area,difference,difference_pct,wasted_tl,year_month
İSMET İNÖNÜ PARKI,2018-09-04,2018-10-03,1089,1913,9088.0,824,75.66574839302112,16480,2018-10-01
İLHAN ERDOST PARKI,2018-06-22,2018-07-24,507,589,2676.0,82,16.173570019723865,1640,2018-07-01
YUNUS EMRE PARKI,2022-06-01,2022-06-28,488,513,4847.0,25,5.122950819672131,500,2022-06-01
ATA PARK,2022-12-02,2023-05-04,0,7,6052.0,7,0.0,140,2023-05-01
YUNUS EMRE PARKI,2017-07-28,2017-08-28,857,1268,4847.0,411,47.957992998833134,8220,2017-08-01
NECATİ YURTTAKALAN PARKI,2017-04-26,2017-05-24,0,17,1011.0,17,0.0,340,2017-05-01
KEMAL SUNAL PARKI,2016-06-25,2016-07-30,317,937,1600.0,620,195.58359621451103,12400,2016-07-01
RAUF DENKTAŞ PARKI,2018-11-26,2019-05-22,0,512,5562.0,512,0.0,10240,2019-05-01
SEMA YAZAR PARKI,2016-11-04,2017-04-26,0,2959,2850.0,2959,0.0,59180,2017-04-01
KEMAL SUNAL PARKI,2020-08-04,2020-09-02,350,613,1600.0,263,75.14285714285714,5260,2020-09-01
KEMAL SUNAL PARKI,2018-10-30,2019-05-22,11,197,1600.0,186,1690.909090909091,3720,2019-05-01
EFE ECE DALMANOĞLU PARKI,2019-10-03,2020-06-01,2,64,25.0,62,3100.0,1240,2020-06-01
SEMA YAZAR PARKI,2021-08-04,2021-09-02,494,755,2850.0,261,52.834008097166,5220,2021-09-01
RAUF DENKTAŞ PARKI,2016-11-03,2017-05-25,0,27,5562.0,27,0.0,540,2017-05-01
İSMET İNÖNÜ PARKI,2017-07-27,2017-08-24,1564,2331,9088.0,767,49.04092071611253,15340,2017-08-01
SÜLEYMAN TÜRKOĞLU PARKI,2022-11-30,2023-06-01,5,23,1919.0,18,360.0,360,2023-06-01
KEMAL SUNAL PARKI,2016-07-30,2016-08-27,259,803,1600.0,544,210.03861003861002,10880,2016-08-01
HAMZA AKSOY PARKI,2017-04-26,2017-05-29,0,11,1916.0,11,0.0,220,2017-05-01
KEMAL SUNAL PARKI,2019-05-22,2019-06-27,169,250,1600.0,81,47.928994082840234,1620,2019-06-01
RAUF DENKTAŞ PARKI,2016-04-27,2016-05-27,0,142,5562.0,142,0.0,2840,2016-05-01
KEMAL SUNAL PARKI,2023-05-01,2023-06-01,4,59,1600.0,55,1375.0,1100,2023-06-01
TEOMAN EREL PARKI,2016-08-04,2016-09-03,405,550,2765.0,145,35.80246913580247,2900,2016-09-01
EFE ECE DALMANOĞLU PARKI,2019-06-28,2019-07-30,4,43,25.0,39,975.0,780,2019-07-01
EFE ECE DALMANOĞLU PARKI,2016-08-29,2016-10-01,3,6,25.0,3,100.0,60,2016-10-01
ŞÜKRAN GÜNGÖR,2016-10-04,2017-05-29,73,680,1058.0,607,831.5068493150685,12140,2017-05-01
NEJAT UYGUR PARKI,2019-11-02,2020-06-01,3,51,1470.0,48,1600.0,960,2020-06-01
İSMET İNÖNÜ PARKI,2019-09-05,2019-10-07,1387,2522,9088.0,1135,81.83129055515501,22700,2019-10-01
ATA PARK,2020-08-05,2020-09-04,1413,1667,6052.0,254,17.97593772116065,5080,2020-09-01
NEJAT UYGUR PARKI,2020-06-01,2020-07-04,232,277,1470.0,45,19.396551724137932,900,2020-07-01
RAUF DENKTAŞ PARKI,2018-01-19,2018-04-19,0,171,5562.0,171,0.0,3420,2018-04-01
HAMZA AKSOY PARKI,2021-11-01,2022-08-04,547,1136,1916.0,589,107.6782449725777,11780,2022-08-01
NEJAT UYGUR PARKI,2018-07-27,2018-08-31,343,505,1470.0,162,47.23032069970846,3240,2018-08-01
ATAPARK,2021-06-28,2021-08-04,1862,2855,8271.0,993,53.329752953813106,19860,2021-08-01
NEJAT UYGUR PARKI,2018-08-31,2018-09-28,190,249,1470.0,59,31.05263157894737,1180,2018-09-01
AFET İNAN PARKI,2022-06-03,2022-07-01,52,121,534.0,69,132.69230769230768,1380,2022-07-01
ŞÜKRAN GÜNGÖR,2016-04-28,2016-05-30,0,10,1058.0,10,0.0,200,2016-05-01
NEJAT UYGUR PARKI,2019-06-27,2019-08-01,294,549,1470.0,255,86.73469387755102,5100,2019-08-01
YUNUS EMRE PARKI,2017-08-28,2017-10-02,1087,1175,4847.0,88,8.09567617295308,1760,2017-10-01
YUNUS EMRE PARKI,2018-06-27,2018-07-27,926,1469,4847.0,543,58.639308855291574,10860,2018-07-01
NEJAT UYGUR PARKI,2017-07-27,2017-08-25,260,530,1470.0,270,103.84615384615385,5400,2017-08-01
EFE ECE DALMANOĞLU PARKI,2019-05-23,2019-06-28,2,24,25.0,22,1100.0,440,2019-06-01
İSMET İNÖNÜ PARKI,2017-05-29,2017-06-22,627,740,9088.0,113,18.022328548644335,2260,2017-06-01
SÜLEYMAN TÜRKOĞLU PARKI,2018-06-27,2018-07-23,308,419,1919.0,111,36.038961038961034,2220,2018-07-01
RAUF DENKTAŞ PARKI,2021-08-03,2021-09-01,993,1788,5562.0,795,80.06042296072508,15900,2021-09-01
NEJAT UYGUR PARKI,2019-08-01,2019-09-04,296,534,1470.0,238,80.4054054054054,4760,2019-09-01
BERFO ANA PARKI,2018-04-19,2018-05-23,0,1485,11200.0,1485,0.0,29700,2018-05-01
KEMAL SUNAL PARKI,2018-06-22,2018-07-24,303,347,1600.0,44,14.521452145214523,880,2018-07-01
İSMET İNÖNÜ PARKI,2016-11-03,2017-04-27,0,13058,9088.0,13058,0.0,261160,2017-04-01
AFET İNAN PARKI,2020-06-03,2020-07-03,77,108,534.0,31,40.25974025974026,620,2020-07-01
GÜLTEN ÇAPAR PARKI,2018-10-02,2019-05-25,18,28,267.0,10,55.55555555555556,200,2019-05-01
SÜLEYMAN TÜRKOĞLU PARKI,2016-09-02,2016-10-01,240,285,1919.0,45,18.75,900,2016-10-01
GÜLTEN ÇAPAR PARKI,2018-04-24,2018-05-24,0,6,267.0,6,0.0,120,2018-05-01
RAUF DENKTAŞ PARKI,2018-06-23,2018-07-24,1037,1518,5562.0,481,46.38379942140791,9620,2018-07-01
KEMAL SUNAL PARKI,2019-09-03,2019-10-02,230,394,1600.0,164,71.30434782608695,3280,2019-10-01
ŞÜKRAN GÜNGÖR,2017-08-25,2017-09-29,245,310,1058.0,65,26.53061224489796,1300,2017-09-01
BERFO ANA PARKI,2020-04-01,2020-04-29,0,18,11200.0,18,0.0,360,2020-04-01
ATA PARK,2016-05-28,2016-06-27,742,920,6052.0,178,23.98921832884097,3560,2016-06-01
NEJAT UYGUR PARKI,2017-03-30,2017-04-25,0,49,1470.0,49,0.0,980,2017-04-01
İSMET İNÖNÜ PARKI,2018-06-25,2018-07-26,1760,3263,9088.0,1503,85.39772727272728,30060,2018-07-01
YUNUS EMRE PARKI,2017-04-27,2017-05-29,0,686,4847.0,686,0.0,13720,2017-05-01
KEMAL SUNAL PARKI,2019-07-29,2019-09-03,346,565,1600.0,219,63.29479768786127,4380,2019-09-01
SEMA YAZAR PARKI,2017-10-27,2018-06-27,357,700,2850.0,343,96.07843137254902,6860,2018-06-01
KEMAL SUNAL PARKI,2017-07-27,2017-08-24,275,976,1600.0,701,254.90909090909093,14020,2017-08-01
SÜLEYMAN TÜRKOĞLU PARKI,2020-07-03,2020-08-03,383,640,1919.0,257,67.1018276762402,5140,2020-08-01
SÜLEYMAN TÜRKOĞLU PARKI,2021-10-28,2022-05-31,13,22,1919.0,9,69.23076923076923,180,2022-05-01
HAMZA AKSOY PARKI,2017-03-29,2017-04-26,0,14,1916.0,14,0.0,280,2017-04-01
GÜLTEN ÇAPAR PARKI,2019-09-05,2020-06-03,59,78,267.0,19,32.20338983050847,380,2020-06-01
YUNUS EMRE PARKI,2022-08-31,2022-10-04,813,1107,4847.0,294,36.162361623616235,5880,2022-10-01
SÜLEYMAN TÜRKOĞLU PARKI,2017-06-28,2017-07-27,416,617,1919.0,201,48.31730769230769,4020,2017-07-01
NEŞET ERTAŞ PARKI,2018-11-01,2019-05-25,0,6,3160.0,6,0.0,120,2019-05-01
SÜLEYMAN TÜRKOĞLU PARKI,2020-08-03,2020-09-07,497,580,1919.0,83,16.700201207243463,1660,2020-09-01
SEHERGÜL ATEŞ,2016-03-01,2016-04-30,0,100,400.0,100,0.0,2000,2016-04-01
TEOMAN ÖZTÜRK PARKI,2021-04-02,2021-06-01,18,82,8000.0,64,355.55555555555554,1280,2021-06-01
AFET İNAN PARKI,2020-07-03,2020-08-05,114,197,534.0,83,72.80701754385966,1660,2020-08-01
AYTEN BAYKAL PARKI,2016-11-04,2017-04-27,0,2,2236.0,2,0.0,40,2017-04-01
NEJAT UYGUR PARKI,2022-11-30,2023-06-01,4,36,1470.0,32,800.0,640,2023-06-01
RAUF DENKTAŞ PARKI,2018-04-19,2018-05-22,0,471,5562.0,471,0.0,9420,2018-05-01
