date,ET0,ETc,water_need_m3
2015-01-01,0.4129351891160076,0.3303481512928061,0.00033
2015-01-02,0.6509697211163179,0.5207757768930543,0.00052
2015-01-03,0.7275357454288617,0.5820285963430893,0.00058
2015-01-04,0.4514850768883754,0.3611880615107004,0.00036
2015-01-05,0.4535667233713873,0.3628533786971099,0.00036
2015-01-06,0.6628460388233636,0.5302768310586908,0.00053
2015-01-07,0.5031394826136932,0.4025115860909546,0.0004
2015-01-08,0.7030391512521829,0.5624313210017463,0.00056
2015-01-09,0.5345262728925476,0.4276210183140381,0.00043
2015-01-10,0.36793473365543194,0.29434778692434554,0.00029
2015-01-11,0.2796600902146094,0.22372807217168755,0.00022
2015-01-12,0.4339286359089685,0.34714290872717485,0.00035
2015-01-13,0.39733100241471425,0.3178648019317714,0.00032
2015-01-14,0.7847447429034478,0.6277957943227582,0.00063
2015-01-15,0.7223092066773047,0.5778473653418438,0.00058
2015-01-16,0.7277116482287534,0.5821693185830028,0.00058
2015-01-17,0.9954955498968441,0.7963964399174753,0.0008
2015-01-18,0.9069569421451515,0.7255655537161213,0.00073
2015-01-19,1.2834724033590084,1.0267779226872067,0.00103
2015-01-20,1.325457457608621,1.060365966086897,0.00106
2015-01-21,1.4197332967858258,1.1357866374286607,0.00114
2015-01-22,1.293446966710122,1.0347575733680976,0.00103
2015-01-23,0.9934463683958149,0.794757094716652,0.00079
2015-01-24,1.2031336433810091,0.9625069147048073,0.00096
2015-01-25,0.6621346219917386,0.5297076975933909,0.00053
2015-01-26,0.9736115013521045,0.7788892010816837,0.00078
2015-01-27,0.8975103074941694,0.7180082459953355,0.00072
2015-01-28,0.7347472978844679,0.5877978383075744,0.00059
2015-01-29,0.5252748950509708,0.4202199160407767,0.00042
2015-01-30,0.8550513890509924,0.684041111240794,0.00068
2015-01-31,1.0525102339614592,0.8420081871691674,0.00084
2015-02-01,2.6396079260389524,2.111686340831162,0.00211
2015-02-02,3.745433064188383,2.9963464513507065,0.003
2015-02-03,0.52601859695188,0.42081487756150404,0.00042
2015-02-04,0.8883111252858219,0.7106489002286576,0.00071
2015-02-05,2.1673743338761637,1.7338994671009311,0.00173
2015-02-06,1.5659485928942807,1.2527588743154245,0.00125
2015-02-07,1.4992387675860226,1.1993910140688182,0.0012
2015-02-08,0.5742321933956931,0.4593857547165545,0.00046
2015-02-09,0.8404581775668957,0.6723665420535165,0.00067
2015-02-10,0.4422463081395351,0.3537970465116281,0.00035
2015-02-11,0.6383837802567505,0.5107070242054004,0.00051
2015-02-12,0.8309622254270764,0.6647697803416612,0.00066
2015-02-13,1.1527537905029717,0.9222030324023773,0.00092
2015-02-14,0.7324145757469314,0.5859316605975451,0.00059
2015-02-15,0.9161664367182266,0.7329331493745813,0.00073
2015-02-16,0.5752020452708655,0.4601616362166924,0.00046
2015-02-17,0.8070848456026942,0.6456678764821554,0.00065
2015-02-18,1.1228473471576708,0.8982778777261367,0.0009
2015-02-19,1.0911717982411406,0.8729374385929125,0.00087
2015-02-20,1.1702697577641676,0.9362158062113342,0.00094
2015-02-21,1.458447099838986,1.166757679871189,0.00117
2015-02-22,1.8712039047861013,1.4969631238288812,0.0015
2015-02-23,1.1070170316064287,0.885613625285143,0.00089
2015-02-24,0.5541630737508264,0.44333045900066115,0.00044
2015-02-25,0.6075593322638887,0.48604746581111097,0.00049
2015-02-26,1.2121773098726256,0.9697418478981006,0.00097
2015-02-27,1.415222259977559,1.1321778079820473,0.00113
2015-02-28,1.479496231433191,1.1835969851465529,0.00118
2015-03-01,1.0690729979427527,0.8552583983542021,0.00086
2015-03-02,1.1301736106461788,0.9041388885169431,0.0009
2015-03-03,1.1686403322983345,0.9349122658386677,0.00093
2015-03-04,0.9363027231721965,0.7490421785377572,0.00075
2015-03-05,2.2889334900990423,1.831146792079234,0.00183
2015-03-06,2.1888131817044183,1.7510505453635348,0.00175
2015-03-07,2.20586530711193,1.764692245689544,0.00176
2015-03-08,1.88885842929966,1.5110867434397282,0.00151
2015-03-09,2.0732299686378917,1.6585839749103135,0.00166
2015-03-10,2.46937228162273,1.975497825298184,0.00198
2015-03-11,1.4122975696750277,1.1298380557400223,0.00113
2015-03-12,0.5342449640462896,0.4273959712370317,0.00043
2015-03-13,0.9270470370687653,0.7416376296550123,0.00074
2015-03-14,0.9687443902381395,0.7749955121905117,0.00077
2015-03-15,1.0526813628990512,0.842145090319241,0.00084
2015-03-16,0.9999858227722458,0.7999886582177966,0.0008
2015-03-17,1.9644576591824028,1.5715661273459223,0.00157
2015-03-18,1.78631567876068,1.4290525430085441,0.00143
2015-03-19,1.1772168878187097,0.9417735102549678,0.00094
2015-03-20,1.3360864727293673,1.0688691781834938,0.00107
2015-03-21,1.448413828581752,1.1587310628654017,0.00116
2015-03-22,1.193748829097853,0.9549990632782825,0.00095
2015-03-23,1.8240486307203383,1.4592389045762708,0.00146
2015-03-24,1.5230479477626755,1.2184383582101406,0.00122
2015-03-25,2.071494039193317,1.6571952313546536,0.00166
2015-03-26,2.8032807089201763,2.2426245671361413,0.00224
2015-03-27,1.3941212527150573,1.1152970021720459,0.00112
2015-03-28,0.6911678045055528,0.5529342436044423,0.00055
2015-03-29,1.9722123515139212,1.577769881211137,0.00158
2015-03-30,0.8781532479768742,0.7025225983814994,0.0007
2015-03-31,1.2017758056529626,0.9614206445223701,0.00096
2015-04-01,1.2559973442156949,1.004797875372556,0.001
2015-04-02,1.9810066450445338,1.5848053160356272,0.00158
2015-04-03,2.3371774011739195,1.8697419209391357,0.00187
2015-04-04,1.8156688923820588,1.452535113905647,0.00145
2015-04-05,2.709839869698543,2.1678718957588345,0.00217
2015-04-06,3.4253902235243494,2.7403121788194795,0.00274
2015-04-07,1.8950496154722545,1.5160396923778037,0.00152
2015-04-08,1.6858789114034445,1.3487031291227556,0.00135
2015-04-09,0.7795425378600491,0.6236340302880393,0.00062
2015-04-10,0.7592609141635838,0.607408731330867,0.00061
2015-04-11,1.992317372401031,1.593853897920825,0.00159
2015-04-12,2.191308037662707,1.7530464301301656,0.00175
2015-04-13,2.725618955662927,2.1804951645303414,0.00218
2015-04-14,3.6159254469122133,2.892740357529771,0.00289
2015-04-15,2.3780688955024143,1.9024551164019314,0.0019
2015-04-16,2.3018642302178742,1.8414913841742995,0.00184
2015-04-17,4.5078279760422975,3.6062623808338383,0.00361
2015-04-18,3.591492999549277,2.873194399639422,0.00287
2015-04-19,3.6128868398730027,2.8903094718984024,0.00289
2015-04-20,1.8956548445501387,1.516523875640111,0.00152
2015-04-21,2.7307335619175794,2.1845868495340635,0.00218
2015-04-22,2.2348998698478333,1.7879198958782667,0.00179
2015-04-23,2.02455780521082,1.619646244168656,0.00162
2015-04-24,3.0067079647946477,2.4053663718357186,0.00241
2015-04-25,4.149494570382328,3.3195956563058626,0.00332
2015-04-26,3.877748388165762,3.10219871053261,0.0031
2015-04-27,3.199020137244322,2.5592161097954578,0.00256
2015-04-28,4.789390305725899,3.8315122445807193,0.00383
2015-04-29,6.004870358959542,4.803896287167634,0.0048
2015-04-30,3.5956553281648986,2.876524262531919,0.00288
2015-05-01,2.3191026389791984,1.8552821111833588,0.00186
2015-05-02,2.844141820484254,2.275313456387403,0.00228
2015-05-03,2.4190471408087495,1.9352377126469997,0.00194
2015-05-04,3.1515615422889485,2.521249233831159,0.00252
2015-05-05,4.035845127317898,3.2286761018543184,0.00323
2015-05-06,4.671526462477518,3.737221169982014,0.00374
2015-05-07,5.614107860310836,4.491286288248669,0.00449
2015-05-08,1.6499400376291842,1.3199520301033474,0.00132
2015-05-09,3.0159556568972037,2.412764525517763,0.00241
