subscription,district,name,address,volume,price,start_read_date,end_read_date
2246705,ÇANKAYA,ÇANKAYA BELEDİYESİ GAZZE PARKI,1139 SK,331,1102.23,2019-09-06 00:00:00,2019-10-04 00:00:00
2246704,ÇANKAYA,ÇANKAYA BELEDİYESİ DİLEK GÜREL PARKI,İLKER CAD,811,8478.51,2022-12-01 00:00:00,2023-09-05 00:00:00
2246312,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,İNKILAP SK,12,81.6,2022-05-05 00:00:00,2022-06-01 00:00:00
1445902,ÇANKAYA,ÇANKAYA BELEDİYESİ ÖĞRETMENLER PARKI,ÖĞRETMENLER CAD,88,297.24,2016-03-28 00:00:00,2016-04-27 00:00:00
671207,ÇANKAYA,ÇANKAYA BELEDİYESİ ÇİĞDEM MAH.PARKI,1559 SK,500,2016.61,2017-08-29 00:00:00,2017-09-29 00:00:00
1446355,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,436 SK,76,358.19,2018-05-25 00:00:00,2018-06-27 00:00:00
427493,ÇANKAYA,ÇANKAYA BELEDİYESİ UMUT P ARKI,SÜLEYMANBEY CAD,316,2698.1,2022-09-06 00:00:00,2022-10-05 00:00:00
2246367,ÇANKAYA,ÇANKAYA BELEDİYESİ TRAFİK EĞİTİM PARKI,1550 CAD,262,1049.36,2017-07-29 00:00:00,2017-08-29 00:00:00
1446566,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,931 CAD,1,3.47,2016-09-01 00:00:00,2016-10-06 00:00:00
1445329,ÇANKAYA,ÇANKAYA BELEDİYESİ MALAZGİRT PARKIU,ERSEGÜN VİLLALARI KOP 102/1 PARSEL,209,695.97,2020-09-05 00:00:00,2020-10-06 00:00:00
1446768,ÇANKAYA,ÇANKAYA BELEDİYESİ SABAHATTİN ALİ PARKI,844 CAD,792,3942.47,2018-07-23 00:00:00,2018-09-03 00:00:00
2246825,ÇANKAYA,ÇANKAYA BELEDİYESİ ABDULL AH CÖMERT PARKI,2130 SK,21,69.93,2019-07-30 00:00:00,2019-09-04 00:00:00
1445600,ÇANKAYA,ÇANKAYA BELEDİYESİ ERSUN ÇILDIR PARKI,CEVİZLİDERE SK,275,3060.75,2023-07-05 00:00:00,2023-08-02 00:00:00
1446105,ÇANKAYA,ÇANKAYA BELEDİYESİ A.TANE R KIŞLALI SP TES,TÜRKOCAĞI CAD,480,1951.33,2018-09-04 00:00:00,2019-05-25 00:00:00
2248691,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH. MÜD.,695 CAD,71,282.49,2018-10-31 00:00:00,2019-04-26 00:00:00
1446966,ÇANKAYA,ÇANKAYA BELEDİYESİ SEMA YAZAR PARKI,2127 CAD,175,871.8,2018-07-27 00:00:00,2018-08-31 00:00:00
1446558,ÇANKAYA,ÇANKAYA BELEDİYESİ RIFAT ILGAZ PARKI,MUHSİN YAZICIOĞLU CAD,275,915.75,2020-11-05 00:00:00,2021-05-28 00:00:00
1071348,ÇANKAYA,ÇANKAYA BELEDİYESİ SARI ZEYBEK PARKI,2483 CAD,841,2800.53,2020-07-02 00:00:00,2020-07-30 00:00:00
1446001,ÇANKAYA,ÇANKAYA BELEDİYE BAŞKANLI ĞI NAZIM HİKMET PARKI,2475 SK,1430,7118.1,2018-07-24 00:00:00,2018-09-01 00:00:00
1072606,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,708 SK,1699,5657.67,2021-06-29 00:00:00,2021-08-05 00:00:00
2248606,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,115 CAD,195,762.71,2018-10-27 00:00:00,2019-05-22 00:00:00
2246214,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,KAZAKİSTAN CAD,71,236.43,2019-04-24 00:00:00,2019-05-24 00:00:00
1070857,ÇANKAYA,ÇANKAYA BELEDİYESİ S.OĞUZ ÇETİN PARKI,638 CAD,12,52.84,2018-02-20 00:00:00,2018-04-18 00:00:00
1446855,ÇANKAYA,ÇANKAYA BELEDİYESİ FAZLI REYHAN PARKI,86 SK,172,839.6,2018-06-27 00:00:00,2018-07-26 00:00:00
611617,ÇANKAYA,ÇANKAYA BELEDİYESİ YUNUS EMRE PARKI,KIRIM CAD,1107,9401.36,2022-08-31 00:00:00,2022-10-04 00:00:00
1445989,ÇANKAYA,ÇANKAYA BELEDİYESİ DR FAZIL KÜÇÜK PARKI,3222 CAD,1008,4335.05,2015-03-04 00:00:00,2015-05-05 00:00:00
2248109,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,2432 CAD,349,1703.6,2018-06-27 00:00:00,2018-07-26 00:00:00
1445497,ÇANKAYA,ÇANKAYA BELEDİYESİ PR.HİK MET BİRAND 2 PARKI,AHMET YESEVİ CAD,139,1151.29,2022-08-01 00:00:00,2022-08-31 00:00:00
670086,ÇANKAYA,ÇANKAYA BELEDİYESİ MUSTAFA YEŞİL PARKI,2954 SK (OYAK9 SİT),1656,13717.56,2022-08-01 00:00:00,2022-09-01 00:00:00
2246656,ÇANKAYA,ÇANKAYA BELEDİYESİ BARIŞ PARKI,1235 CAD,618,2057.94,2019-07-31 00:00:00,2019-09-06 00:00:00
332034,ÇANKAYA,ÇANKAYA BELEDİYESİ ALEKSANDER DUPÇEK PARKI,BÜKREŞ SK,84,336.65,2017-08-01 00:00:00,2017-08-28 00:00:00
670518,ÇANKAYA,ÇANKAYA BELEDİYESİ BAYRAKTAR PARKI,GEZEGEN SK,101,675.39,2022-04-27 00:00:00,2022-05-31 00:00:00
670420,ÇANKAYA,ÇANKAYA BELEDİYESİ KONAK PARKI,329 CAD,1877,6490.67,2016-06-27 00:00:00,2016-08-01 00:00:00
2246325,ÇANKAYA,ÇANKAYA BELEDİYESİ SÜLEYMAN TÜRKOĞLU PARKI,2983 CAD,617,2455.66,2017-06-28 00:00:00,2017-07-27 00:00:00
2246825,ÇANKAYA,ÇANKAYA BELEDİYESİ ABDULL AH CÖMERT PARKI,2130 SK,208,721.7,2016-08-02 00:00:00,2016-09-02 00:00:00
1445493,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,989 SK,18,153.44,2022-09-06 00:00:00,2022-10-04 00:00:00
1070534,ÇANKAYA,ÇANKAYA BELEDİYESİ EVREN SİT.KRŞ.PARK,483 SK,71,282.58,2017-06-23 00:00:00,2017-07-27 00:00:00
427503,ÇANKAYA,ÇANKAYA BELEDİYESİ ABİDİNPAŞA PARKI,ŞEHİT İSMAİL KILIÇ SK,78,259.74,2019-09-05 00:00:00,2019-10-03 00:00:00
2246391,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,ADAKALE SK,4,13.88,2016-08-02 00:00:00,2016-08-31 00:00:00
1071294,ÇANKAYA,ÇANKAYA BELEDİYESİ MURAT ŞAHİNER PARKI,945 SK,167,1307.02,2022-06-29 00:00:00,2022-08-02 00:00:00
1445603,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,450 CAD,235,1942.43,2022-07-30 00:00:00,2022-09-05 00:00:00
1070857,ÇANKAYA,ÇANKAYA BELEDİYESİ S.OĞUZ ÇETİN PARKI,638 CAD,67,287.94,2015-03-02 00:00:00,2015-04-30 00:00:00
1072913,ÇANKAYA,ÇANKAYA BELEDİYESİ GÖKKUŞAĞI PARKI,2960 SK (GÖZDE EVLER SIT),294,1153.46,2017-03-29 00:00:00,2017-04-28 00:00:00
