subscription,name,start_read_date,end_read_date,estimated_volume,volume,grass_area
1446959,GÜLTEN ÇAPAR PARKI,2017-04-26,2017-05-29,34,24.0,267
1074372,NEJAT UYGUR PARKI,2022-08-05,2022-09-06,274,457.0,1470
1073156,İSMET İNÖNÜ PARKI,2018-10-03,2019-07-01,3447,32.0,9088
556459,İLHAN ERDOST PARKI,2015-09-01,2015-10-02,438,467.0,2676
1071286,NECATİ YURTTAKALAN PARKI,2022-09-01,2023-08-03,678,180.0,1011
1446573,AYTEN BAYKAL PARKI,2019-07-02,2019-08-01,393,94.0,2236
1445850,TEOMAN ÖZTÜRK PARKI,2017-08-26,2017-09-29,1813,772.0,8000
1074372,NEJAT UYGUR PARKI,2017-11-23,2018-05-21,289,290.0,1470
1446966,SEMA YAZAR PARKI,2017-04-26,2017-05-26,345,3.0,2850
332018,AFET İNAN PARKI,2017-07-27,2017-08-25,94,120.0,534
611617,YUNUS EMRE PARKI,2018-05-25,2018-06-27,670,566.0,4847
1447076,HAMZA AKSOY PARKI,2019-07-30,2019-09-06,432,135.0,1916
1447076,HAMZA AKSOY PARKI,2020-08-06,2020-09-07,458,598.0,1916
2246271,BERFO ANA PARKI,2015-11-28,2016-04-27,962,716.0,11200
2246419,ŞÜKRAN GÜNGÖR,2023-09-05,2023-10-09,170,309.0,1058
1446573,AYTEN BAYKAL PARKI,2017-06-28,2017-07-29,508,38.0,2236
1446837,KAĞAN GÜRŞEN PARKI,2020-12-02,2021-05-28,238,71.0,1125
1447100,SEHERGÜL ATEŞ,2016-04-30,2016-05-31,34,245.0,400
611617,YUNUS EMRE PARKI,2019-07-01,2019-08-01,872,570.0,4847
1445850,TEOMAN ÖZTÜRK PARKI,2019-04-25,2019-05-24,856,38.0,8000
1446573,AYTEN BAYKAL PARKI,2018-10-31,2019-07-02,722,5.0,2236
1446573,AYTEN BAYKAL PARKI,2019-11-04,2020-06-03,481,14.0,2236
2246025,KEMAL SUNAL PARKI,2022-08-01,2022-09-05,328,634.0,1600
2246271,BERFO ANA PARKI,2017-03-25,2017-04-25,686,62.0,11200
1074424,EFE ECE DALMANOĞLU PARKI,2017-08-28,2017-09-30,5,11.0,25
2246271,BERFO ANA PARKI,2023-08-04,2023-09-05,2971,1863.0,11200
670666,TEOMAN EREL PARKI,2022-06-02,2022-06-29,272,19.0,2765
1447067,NEŞET ERTAŞ PARKI,2015-08-05,2016-05-30,1667,446.0,3160
332018,AFET İNAN PARKI,2018-07-26,2018-09-03,140,215.0,534
1446436,RAUF DENKTAŞ PARKI,2015-08-04,2015-10-01,1666,1731.0,5562
1073156,İSMET İNÖNÜ PARKI,2016-06-27,2016-08-01,1833,3014.0,9088
1446837,KAĞAN GÜRŞEN PARKI,2020-06-02,2020-07-02,158,2.0,1125
1070089,ATAPARK,2018-04-21,2018-05-24,1119,114.0,8271
1445606,NASUH AKAR PARKI,2016-09-01,2016-10-05,119,35.0,803
2246271,BERFO ANA PARKI,2017-05-29,2017-06-22,850,925.0,11200
2246025,KEMAL SUNAL PARKI,2018-05-21,2018-06-22,211,248.0,1600
2246271,BERFO ANA PARKI,2019-06-26,2019-07-29,2125,2288.0,11200
2246025,KEMAL SUNAL PARKI,2015-12-28,2016-05-02,163,315.0,1600
1446959,GÜLTEN ÇAPAR PARKI,2022-08-04,2022-09-06,51,13.0,267
611617,YUNUS EMRE PARKI,2017-05-29,2017-06-28,514,772.0,4847
1447067,NEŞET ERTAŞ PARKI,2015-03-05,2015-05-02,227,80.0,3160
2246025,KEMAL SUNAL PARKI,2017-05-25,2017-06-22,141,299.0,1600
2246025,KEMAL SUNAL PARKI,2022-06-28,2022-08-01,271,529.0,1600
2246419,ŞÜKRAN GÜNGÖR,2022-06-29,2022-08-02,182,223.0,1058
2246419,ŞÜKRAN GÜNGÖR,2015-03-03,2015-06-03,195,214.0,1058
1445850,TEOMAN ÖZTÜRK PARKI,2018-09-05,2018-09-29,797,681.0,8000
1071503,İSMET İNÖNÜ PARKI,2018-09-04,2018-10-03,1089,1913.0,9088
556459,İLHAN ERDOST PARKI,2018-06-22,2018-07-24,507,589.0,2676
556459,İLHAN ERDOST PARKI,2015-11-30,2016-04-29,248,200.0,2676
1446837,KAĞAN GÜRŞEN PARKI,2021-08-02,2021-08-31,202,12.0,1125
611617,YUNUS EMRE PARKI,2022-06-01,2022-06-28,488,513.0,4847
671617,ATA PARK,2022-12-02,2023-05-04,418,7.0,6052
611617,YUNUS EMRE PARKI,2017-07-28,2017-08-28,857,1268.0,4847
2246271,BERFO ANA PARKI,2015-06-01,2015-07-01,971,1019.0,11200
556459,İLHAN ERDOST PARKI,2021-11-02,2022-09-05,1844,65.0,2676
1071286,NECATİ YURTTAKALAN PARKI,2017-04-26,2017-05-24,114,17.0,1011
2246025,KEMAL SUNAL PARKI,2016-06-25,2016-07-30,317,937.0,1600
1446436,RAUF DENKTAŞ PARKI,2018-11-26,2019-05-22,822,512.0,5562
2246025,KEMAL SUNAL PARKI,2015-08-04,2015-08-29,203,608.0,1600
1073156,İSMET İNÖNÜ PARKI,2016-08-29,2016-10-03,1347,240.0,9088
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2018-09-29,2019-07-29,1059,680.0,1919
1446966,SEMA YAZAR PARKI,2016-11-04,2017-04-26,185,2959.0,2850
1446837,KAĞAN GÜRŞEN PARKI,2015-06-30,2015-09-02,360,266.0,1125
1446573,AYTEN BAYKAL PARKI,2015-09-02,2015-10-05,368,82.0,2236
1074372,NEJAT UYGUR PARKI,2015-09-03,2015-10-05,231,463.0,1470
2246271,BERFO ANA PARKI,2019-05-22,2019-06-26,1616,571.0,11200
2246025,KEMAL SUNAL PARKI,2020-08-04,2020-09-02,350,613.0,1600
2246025,KEMAL SUNAL PARKI,2018-10-30,2019-05-22,247,197.0,1600
1447076,HAMZA AKSOY PARKI,2021-06-02,2021-06-29,165,14.0,1916
332018,AFET İNAN PARKI,2020-09-09,2020-10-07,82,38.0,534
611617,YUNUS EMRE PARKI,2015-05-04,2015-07-03,947,605.0,4847
1074424,EFE ECE DALMANOĞLU PARKI,2019-10-03,2020-06-01,7,64.0,25
1446837,KAĞAN GÜRŞEN PARKI,2015-03-03,2015-06-30,292,64.0,1125
1445606,NASUH AKAR PARKI,2020-09-04,2020-10-05,130,36.0,803
671617,ATA PARK,2018-06-27,2018-07-26,1119,189.0,6052
1071286,NECATİ YURTTAKALAN PARKI,2016-08-03,2016-09-02,152,132.0,1011
1446966,SEMA YAZAR PARKI,2021-08-04,2021-09-02,494,755.0,2850
1446436,RAUF DENKTAŞ PARKI,2016-11-03,2017-05-25,1000,27.0,5562
1071503,İSMET İNÖNÜ PARKI,2017-07-27,2017-08-24,1564,2331.0,9088
670666,TEOMAN EREL PARKI,2021-05-31,2021-06-28,243,23.0,2765
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2022-11-30,2023-06-01,262,23.0,1919
671617,ATA PARK,2023-09-04,2023-10-09,983,1086.0,6052
1446436,RAUF DENKTAŞ PARKI,2018-05-22,2018-06-23,738,142.0,5562
1071286,NECATİ YURTTAKALAN PARKI,2017-07-27,2017-08-24,173,132.0,1011
2246025,KEMAL SUNAL PARKI,2016-07-30,2016-08-27,259,803.0,1600
556459,İLHAN ERDOST PARKI,2019-06-26,2019-07-29,507,393.0,2676
1447076,HAMZA AKSOY PARKI,2017-04-26,2017-05-29,245,11.0,1916
2246271,BERFO ANA PARKI,2021-06-03,2021-07-01,1094,902.0,11200
611617,YUNUS EMRE PARKI,2015-07-03,2015-08-05,805,1014.0,4847
2246025,KEMAL SUNAL PARKI,2019-05-22,2019-06-27,242,250.0,1600
1446436,RAUF DENKTAŞ PARKI,2016-04-27,2016-05-27,453,142.0,5562
1445850,TEOMAN ÖZTÜRK PARKI,2021-06-01,2021-06-29,708,33.0,8000
2246025,KEMAL SUNAL PARKI,2023-05-01,2023-06-01,130,59.0,1600
2246271,BERFO ANA PARKI,2016-08-31,2016-10-01,1468,1220.0,11200
670666,TEOMAN EREL PARKI,2016-08-04,2016-09-03,405,550.0,2765
1074424,EFE ECE DALMANOĞLU PARKI,2019-06-28,2019-07-30,4,43.0,25
1074424,EFE ECE DALMANOĞLU PARKI,2016-08-29,2016-10-01,3,6.0,25
2246271,BERFO ANA PARKI,2021-08-04,2021-09-02,1943,1804.0,11200
1071503,İSMET İNÖNÜ PARKI,2016-08-01,2016-08-29,1406,72.0,9088
2246419,ŞÜKRAN GÜNGÖR,2016-10-04,2017-05-29,274,680.0,1058
670666,TEOMAN EREL PARKI,2017-11-28,2018-07-27,1473,132.0,2765
332018,AFET İNAN PARKI,2018-06-27,2018-07-26,98,62.0,534
2246419,ŞÜKRAN GÜNGÖR,2020-06-02,2020-07-03,155,105.0,1058
1446837,KAĞAN GÜRŞEN PARKI,2023-08-02,2023-09-02,306,13.0,1125
1074372,NEJAT UYGUR PARKI,2019-11-02,2020-06-01,308,51.0,1470
1071503,İSMET İNÖNÜ PARKI,2019-09-05,2019-10-07,1387,2522.0,9088
1446573,AYTEN BAYKAL PARKI,2020-07-03,2020-08-04,461,75.0,2236
671617,ATA PARK,2020-08-05,2020-09-04,1413,1667.0,6052
1446573,AYTEN BAYKAL PARKI,2022-05-09,2022-06-06,298,19.0,2236
1071286,NECATİ YURTTAKALAN PARKI,2023-08-03,2023-09-01,262,118.0,1011
1074372,NEJAT UYGUR PARKI,2020-06-01,2020-07-04,232,277.0,1470
1446959,GÜLTEN ÇAPAR PARKI,2015-09-01,2016-06-01,107,8.0,267
1446436,RAUF DENKTAŞ PARKI,2018-01-19,2018-04-19,389,171.0,5562
556459,İLHAN ERDOST PARKI,2020-08-05,2020-09-04,624,239.0,2676
2246419,ŞÜKRAN GÜNGÖR,2020-07-03,2020-08-04,218,209.0,1058
1070089,ATAPARK,2020-07-04,2020-08-06,1791,363.0,8271
671617,ATA PARK,2017-05-27,2017-06-30,749,435.0,6052
1446837,KAĞAN GÜRŞEN PARKI,2018-06-25,2018-07-24,202,22.0,1125
1447076,HAMZA AKSOY PARKI,2021-11-01,2022-08-04,970,1136.0,1916
1074372,NEJAT UYGUR PARKI,2018-07-27,2018-08-31,343,505.0,1470
1070089,ATAPARK,2021-06-28,2021-08-04,1862,2855.0,8271
1071286,NECATİ YURTTAKALAN PARKI,2016-06-29,2016-08-03,212,194.0,1011
1074372,NEJAT UYGUR PARKI,2018-08-31,2018-09-28,190,249.0,1470
1445606,NASUH AKAR PARKI,2017-07-27,2017-08-25,142,66.0,803
332018,AFET İNAN PARKI,2022-06-03,2022-07-01,52,121.0,534
611617,YUNUS EMRE PARKI,2015-08-05,2016-05-31,2583,2618.0,4847
2246419,ŞÜKRAN GÜNGÖR,2016-04-28,2016-05-30,93,10.0,1058
1074372,NEJAT UYGUR PARKI,2019-06-27,2019-08-01,294,549.0,1470
611617,YUNUS EMRE PARKI,2017-08-28,2017-10-02,1087,1175.0,4847
1071503,İSMET İNÖNÜ PARKI,2017-10-26,2018-06-25,3132,925.0,9088
1447067,NEŞET ERTAŞ PARKI,2019-05-25,2019-08-01,1058,621.0,3160
1445850,TEOMAN ÖZTÜRK PARKI,2020-09-04,2020-10-02,1162,350.0,8000
1445606,NASUH AKAR PARKI,2020-11-05,2021-06-30,253,24.0,803
556459,İLHAN ERDOST PARKI,2020-06-01,2020-07-03,400,150.0,2676
