subscription,district,name,address,volume,price,start_read_date,end_read_date
2247199,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,2067 CAD,101.0,401.41,2017-05-27,2017-06-28
2248148,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,3225 SK,934.0,3110.22,2019-09-07,2019-10-07
2998178,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,4982.CADDE,716.0,5298.4,2022-06-03,2022-07-01
037387,ÇANKAYA,SAMİ BALCIOĞLU PARKI,NEYZEN TEVFİK SK,900.0,2997.0,2019-06-27,2019-07-29
2246774,ÇANKAYA,ÇANKAYA BEL. BŞK. PARK BA H. MÜD.,1017 SK,237.0,1910.01,2017-04-27,2017-05-30
427493,ÇANKAYA,UMUT PARKI,SÜLEYMANBEY CAD,974.0,3876.52,2017-06-23,2017-07-28
1072606,ÇANKAYA,PARK,708 SK,602.0,2004.66,2019-09-05,2019-10-07
1071254,ÇANKAYA,MUHTARLIK YANI Y.ALAN,MAHMUT ESAT BOZKURT CAD,1.0,3.38,2016-03-29,2016-04-27
1446925,ÇANKAYA,FUSUN SAYEK PARKI,HASAN CELAL GÜZEL CAD,1436.0,4781.88,2020-08-07,2020-09-08
1070823,ÇANKAYA,ÜMİTKÖY DİNLENME PARKI,2436 SK,1.0,3.92,2017-03-29,2017-04-25
1446926,ÇANKAYA,İSMAİL CEM 2 PARKI,628 SK,222.0,1883.1,2022-09-01,2022-09-30
670573,ÇANKAYA,SEVGİ PARKI,2481 sk,13.0,43.29,2020-06-02,2020-07-02
1072643,ÇANKAYA,PARK,SAKARYA CAD,8.0,54.4,2022-05-05,2022-06-03
1072923,ÇANKAYA,CEYHUN ATIF KANSU PARKI,2933 SK,2110.0,9368.4,2015-07-31,2015-08-29
1446855,ÇANKAYA,FAZLI REYHAN PARKI,86 SK,128.0,613.29,2018-09-03,2018-10-03
332018,ÇANKAYA,AFET İNAN PARKI,KUVEYT CAD,102.0,1231.44,2023-08-05,2023-09-05
1073841,ÇANKAYA,PARK,SEYRAN CAD,32.0,273.22,2022-09-06,2022-10-05
1070588,ÇANKAYA,CENGİZ HAN PARKI,TİFLİS CAD,287.0,1970.05,2022-05-09,2022-06-06
1446355,ÇANKAYA,PARK,436 SK,1372.0,5534.41,2017-08-29,2017-10-02
2246305,ÇANKAYA,EVREN SİTE PARKI,482 SK,3.0,14.51,2021-10-04,2022-05-05
667836,ÇANKAYA,DOĞA P ARK,1570 CAD,388.0,1479.12,2018-10-30,2019-06-28
1071429,ÇANKAYA,MEDENİ YILDIRIM PARKI,1315 CAD,57.0,189.81,2020-07-02,2020-08-03
1446354,ÇANKAYA,MUSTAF A SARI PARKI,350 SK,62.0,206.46,2020-06-02,2020-07-03
1445602,ÇANKAYA,AHMET ATAKAN PARKI,1276 CAD,32.0,106.56,2021-05-31,2021-08-04
2246704,ÇANKAYA,DİLEK GÜREL PARKI,İLKER CAD,181.0,1540.31,2022-09-05,2022-10-03
674274,ÇANKAYA,UMUT 2 PARKI,SÜLEYMANBEY CAD,438.0,1458.54,2020-09-04,2020-10-03
1446293,ÇANKAYA,PR DR HİKMEN BİRAND PARKI,AHMET YESEVİ CAD,122.0,482.21,2017-04-25,2017-05-27
1445621,ÇANKAYA,GÜL DÜ NYA PARKI,2716 CAD,171.0,597.4,2021-09-01,2021-09-29
332001,ÇANKAYA,ANNEANNEM PARKI,GÖKÇEK SK,28.0,238.69,2022-09-06,2022-10-04
037387,ÇANKAYA,SAMİ B ALCIOĞLU PARKI,NEYZEN TEVFİK SK,146.0,1080.4,2022-06-03,2022-06-30
2246356,ÇANKAYA,YENİDE N YAŞAM PARKI,1235 CAD,629.0,2094.57,2020-09-07,2020-10-05
037387,ÇANKAYA,SAMİ BALCIOĞLU PARKI,NEYZEN TEVFİK SK,434.0,1519.0,2021-09-03,2021-10-01
1446001,ÇANKAYA,ÇANKAYA BELEDİYE BAŞKANLI ĞI NAZIM HİKMET PARKI,2475 SK,798.0,2657.34,2019-07-31,2019-09-03
1071425,ÇANKAYA,SAĞLIK OCAĞI YANI PARK,ŞEMSETTİN GÜNALTAY CAD,34.0,113.22,2019-04-22,2019-05-24
1071504,ÇANKAYA,EL ELE PARKI,2432 CAD,51.0,204.08,2017-07-26,2017-08-24
1446855,ÇANKAYA,FAZLI REYHAN PARKI,86 SK,11.0,49.65,2018-03-23,2018-05-25
